x,y,@@class@@
-1.500427,-0.817752,'Cervical Cancer'
-1.738782,-0.526697,'Other Non-communicable Diseases'
-1.17278,-0.075522,'Cervical Cancer'
-1.907122,-0.700166,AIDS
-1.4425,-0.868114,'Cervical Cancer'
-1.693525,-0.637159,'Esophageal Cancer'
-1.663507,-0.544775,'Esophageal Cancer'
-2.022213,-0.684412,Maternal
34.657011,-15.056967,Pneumonia
-1.992072,-0.625985,'Esophageal Cancer'
-1.583752,-0.550507,Diarrhea/Dysentery
-1.543776,-0.640581,'Prostate Cancer'
-1.884314,-0.637156,'Cervical Cancer'
-1.668479,-0.771346,AIDS
11.922819,2.044773,'Acute Myocardial Infarction'
0.178273,1.137894,AIDS
-1.920445,-0.597247,'Breast Cancer'
-1.834338,-0.596182,'Cervical Cancer'
-1.817828,-0.567705,'Esophageal Cancer'
-1.730438,-0.539804,AIDS
-1.714421,-0.644839,Pneumonia
-1.802483,-0.510715,'Cervical Cancer'
-1.732502,-0.570439,'Breast Cancer'
13.82743,33.194275,AIDS
-1.977272,-0.5743,Sepsis
-1.921771,-0.660785,'Birth asphyxia'
-1.921672,-0.6605,'Birth asphyxia'
-1.844451,-0.71893,'Birth asphyxia'
-1.836595,-0.618827,Meningitis/Sepsis
-1.920172,-0.656189,'Preterm Delivery'
-1.901084,-0.811649,'Preterm Delivery'
-1.914845,-0.640874,Stillbirth
-1.833117,-0.686347,Stillbirth
-1.853539,-0.599592,'Birth asphyxia'
-1.816049,-0.683034,'Birth asphyxia'
-1.828029,-0.672303,Meningitis/Sepsis
-1.826015,-0.564736,'Congenital malformation'
-1.82522,-0.664808,'Birth asphyxia'
